message,proxy_tag,true_intent,should_escalate,escalate_reason_gold,human_reply_quality_notes
"Seriously! So many issues that ios 11 on iphone 7! Constant feezing, loud speaker issues, slowness, Battery! ⏲️to sell?",other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Ugh my space bar is not wanting to work well. #iphoneprobs,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Geez already. Upgraded to iOS 11 and the WiFi keeps kicking me out with incorrect password given. Will you fix that? Seems to be the bug here.,account_access,account_access,False,Account access and settings inquiry,
"Could I pre-order it tomorrow, pay up front, return it to the store, then enter the Upgrade Programme using the phone I just returned? (2/2)",delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
one single biggest factor I admired iPhone was its great battery management. #ios11 has screwed it up. Fix it asap,praise_or_thanks,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
No i dont get any error just the wheel its spining. Check the picture below.,product_bug_report,other,False,Ambiguous inquiry,
Actually I have a question about my order.. when I chose PayPal credit do I need to set up the direct debits or it’s done automatically?,delivery_order_issue,delivery_order_issue,False,General order status or pre-order inquiry,
@ I am a I phone 6 owner I install all recommended updates when prompted on my phone however this hasn’t resolved the problem with the battery in the phone and the phone shuts down whilst showing I still have charge Please help me?,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
I got my new phone but to get all my old stuff on it I need an encryption password.. that I never set up.. Werk,account_access,account_access,False,Account access and settings inquiry,
1.2GB for messaging services - doesn’t that seem unreasonably high? Don’t recall any issues with this pre-upgrade to 11. Also messaging will often crash...,product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I cleared the hard drive and reinstalled the OS. Seems to have resolved the issue for the mean time. Thanks anyways,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"Just made rhe reset. No change, still no connection",account_access,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Hi! Every sound you mention isn’t working. I’ve checked them all. They do however all work fine through a Bluetooth speaker. Thanks!,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
"Ordered at 3 am &amp; got a reservation #. Email arrived, went to purchase but Apple will not honor it be/ I have a PO Box. 😠",delivery_order_issue,delivery_order_issue,True,Order fulfillment exception/investigation required,
what’s up with the app? It’s not a WWDC,other_or_general_complaint,other,False,Ambiguous inquiry,
can you pleeeeaaase fix the GPS for iPhone 6 on iOS 11.1.2?,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
#iOS 11 has made my iphone6 less smart than a soap bar. Constant lag and now stuck in a loop of rebooting and rebooting and rebooting itself. Thanks for the disappointment .,praise_or_thanks,praise_or_thanks,False,Customer expression of gratitude; no action required,
Why I can't reset my Security question with my Email :(,account_access,account_access,True,User locked out or credentials recovery requiring identity verification,
Whats wrong with my Order W489796150. Please respond to my emails.,delivery_order_issue,delivery_order_issue,True,Order fulfillment exception/investigation required,
"Yes, I updated to iOS 11.0.2 (15A421), was annoyed by those iMessage Apps, removed all except App Store, which causes crash as seen in video",product_bug_report,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
the silent mode swtch (wch is abve the vol cntrl buttns) alwys malfunctions! It happnd twice in 5s and twice nw in my 6s. Bad!,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
"iOS 11 is so bugged I need to restart my iPhone 6 twice a day for freezes, UI parts that disappear etc. What can I do?",how_to_question,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
I'm one of the many people with the black screen&gt;spinning wheel&gt;lockscreen issue ( I have a 6 running the latest iOS. Provide a fix ASAP please as I'm travelling and need my phone to be usable!,other_or_general_complaint,product_bug_report,False,Software/firmware bug resolvable with troubleshooting guidance,
Will you please take my money? I’d like to listen to music and watch movies on Netflix but you don’t want me to,billing_dispute,billing_dispute,True,Billing inquiry/dispute requiring access to customer financial records,
